playerid,nameLast,nameFirst,great_because,slg,obp,obp_slg,total_abs,total_w,total_l,total_d,win_percentage
alexape01,Alexander,Pete,Pitcher,,,,,373,208,581,0.6420
bondsba01,Bonds,Barry,Batter,0.6069,0.4428,1.0497,9847,,,,
carltst01,Carlton,Steve,Pitcher,,,,,329,244,573,0.5742
carutbo01,Caruthers,Bob,Pitcher,,,,,218,99,317,0.6877
clarkjo01,Clarkson,John,Pitcher,,,,,328,178,506,0.6482
clemero02,Clemens,Roger,Pitcher,,,,,354,184,538,0.6580
fordwh01,Ford,Whitey,Pitcher,,,,,236,106,342,0.6901
foutzda01,Foutz,Dave,Pitcher,,,,,147,66,213,0.6901
foxxji01,Foxx,Jimmie,Batter,0.6093,0.4275,1.0368,8134,,,,
galvipu01,Galvin,Pud,Pitcher,,,,,365,310,675,0.5407
gehrilo01,Gehrig,Lou,Batter,0.6324,0.4447,1.0772,8001,,,,
glavito02,Glavine,Tom,Pitcher,,,,,305,203,508,0.6004
greenha01,Greenberg,Hank,Batter,0.6050,0.4103,1.0153,5193,,,,
grovele01,Grove,Lefty,Pitcher,,,,,300,141,441,0.6803
hornsro01,Hornsby,Rogers,Batter,0.5765,0.4308,1.0073,8173,,,,
johnsra05,Johnson,Randy,Pitcher,,,,,303,166,469,0.6461
johnswa01,Johnson,Walter,Pitcher,,,,,417,279,696,0.5991
keefeti01,Keefe,Tim,Pitcher,,,,,342,225,567,0.6032
kershcl01,Kershaw,Clayton,Pitcher,,,,,185,84,269,0.6877
maddugr01,Maddux,Greg,Pitcher,,,,,355,227,582,0.6100
martipe02,Martinez,Pedro,Pitcher,,,,,219,100,319,0.6865
mathech01,Mathewson,Christy,Pitcher,,,,,373,188,561,0.6649
nichoki01,Nichols,Kid,Pitcher,,,,,362,208,570,0.6351
niekrph01,Niekro,Phil,Pitcher,,,,,318,274,592,0.5372
perryga01,Perry,Gaylord,Pitcher,,,,,314,265,579,0.5423
planked01,Plank,Eddie,Pitcher,,,,,326,194,520,0.6269
radboch01,Radbourn,Old Hoss,Pitcher,,,,,310,194,504,0.6151
ruthba01,Ruth,Babe,Batter,0.6898,0.4718,1.1616,8398,,,,
ryanno01,Ryan,Nolan,Pitcher,,,,,324,292,616,0.5260
seaveto01,Seaver,Tom,Pitcher,,,,,311,205,516,0.6027
spahnwa01,Spahn,Warren,Pitcher,,,,,363,245,608,0.5970
spaldal01,Spalding,Al,Pitcher,,,,,252,65,317,0.7950
suttodo01,Sutton,Don,Pitcher,,,,,324,256,580,0.5586
welchmi01,Welch,Mickey,Pitcher,,,,,307,210,517,0.5938
willite01,Williams,Ted,Batter,0.6338,0.4806,1.1144,7706,,,,
wynnea01,Wynn,Early,Pitcher,,,,,300,244,544,0.5515
youngcy01,Young,Cy,Pitcher,,,,,511,315,826,0.6186
